,URL,Division,Location,School,Logo,Conference,Nickname,Colors
0,https://www.ncaa.com/schools/abilene-christian,Division I,"Abilene, TX",Abilene Christian University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/abilene-christian.svg,Western Athletic,Wildcats,Purple & White
1,https://www.ncaa.com/schools/academy-of-art,Division II,"San Francisco, CA",Academy of Art University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/academy-of-art.svg,Pacific West,Urban Knights,Black & Red
2,https://www.ncaa.com/schools/adams-st,Division II,"Alamosa, CO",Adams State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/adams-st.svg,Rocky Mountain Athletic,Grizzlies,Green & White
3,https://www.ncaa.com/schools/adelphi,Division II,"Garden City, NY",Adelphi University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/adelphi.svg,Northeast-10,Panthers,Brown & Gold
4,https://www.ncaa.com/schools/adrian,Division III,"Adrian, MI",Adrian College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/adrian.svg,Michigan Intercol. Ath. Assn.,Bulldogs,Gold & Black
5,https://www.ncaa.com/schools/agnes-scott,Division III,"Decatur, GA",Agnes Scott College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/agnes-scott.svg,,,Purple & Black
6,https://www.ncaa.com/schools/air-force,Division I,"USAF Academy, CO",Air Force Academy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/air-force.svg,Mountain West,Falcons,Blue & Silver
7,https://www.ncaa.com/schools/akron,Division I,"Akron, OH",University of Akron,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/akron.svg,Mid-American,Zips,Blue & Gold
8,https://www.ncaa.com/schools/ala-huntsville,Division II,"Huntsville, AL",University of Alabama-Huntsville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ala-huntsville.svg,Gulf South,Chargers,Royal Blue & White
9,https://www.ncaa.com/schools/alabama,Division I,"Tuscaloosa, AL",University of Alabama,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg,Southeastern,Crimson Tide,Crimson & White
10,https://www.ncaa.com/schools/alabama-am,Division I,"Normal, AL",Alabama A&M University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama-am.svg,Southwestern Athletic Conf.,Bulldogs,Maroon & White
11,https://www.ncaa.com/schools/alabama-st,Division I,"Montgomery, AL",Alabama State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama-st.svg,Southwestern Athletic Conf.,Hornets,Black & Old Gold
12,https://www.ncaa.com/schools/alas-anchorage,Division II,"Anchorage, AK",University of Alaska-Anchorage,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alas-anchorage.svg,Great Northwest Athletic,Seawolves,Green & Gold
13,https://www.ncaa.com/schools/alas-fairbanks,Division II,"Fairbanks, AK",University of Alaska-Fairbanks,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alas-fairbanks.svg,Great Northwest Athletic,Nanooks,Blue & Gold
14,https://www.ncaa.com/schools/albany-ny,Division I,"Albany, NY",University at Albany,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albany-ny.svg,America East,Great Danes,Purple & Gold
15,https://www.ncaa.com/schools/albany-st-ga,Division II,"Albany, GA",Albany State University ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albany-st-ga.svg,Southern Intercol. Ath. Conf.,Golden Rams,Royal Blue & Gold
16,https://www.ncaa.com/schools/albertus-magnus,Division III,"New Haven, CT",Albertus Magnus College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albertus-magnus.svg,Great Northeast Athletic,Falcons,Royal Blue & White
17,https://www.ncaa.com/schools/albion,Division III,"Albion, MI",Albion College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albion.svg,Michigan Intercol. Ath. Assn.,Britons,Purple & Gold
18,https://www.ncaa.com/schools/albright,Division III,"Reading, PA",Albright College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albright.svg,Middle Atlantic  Commonwealth,Lions,Red & White
