,school,team,city,state_province,primary_conference,ncaa,team_page
0,Abilene Christian University,Wildcats,Abilene,TX,Western Athletic Conference,1,/wiki/Weber_State_Wildcats
1,Alabama Agricultural and Mechanical University,Bulldogs,Normal,AL,Southwestern Athletic Conference,1,/wiki/Yale_Bulldogs
2,Alabama State University,Hornets,Montgomery,AL,Southwestern Athletic Conference,1,/wiki/Delaware_State_Hornets
3,Alcorn State University,Braves,Lorman,MS,Southwestern Athletic Conference,1,/wiki/Bradley_Braves
4,American University,Eagles,Washington,DC,Patriot League,1,
5,Appalachian State University,Mountaineers,Boone,NC,Sun Belt Conference,1,/wiki/West_Virginia_Mountaineers
6,Arizona State University,Sun Devils,Tempe,AZ,Pac-12 Conference,1,/wiki/Arizona_State_Sun_Devils
7,Arkansas State University,Red Wolves,Jonesboro,AR,Sun Belt Conference,1,/wiki/Arkansas_State_Red_Wolves
8,Auburn University,Tigers,Auburn,AL,Southeastern Conference,1,/wiki/Pacific_Tigers
9,Austin Peay State University,Governors,Clarksville,TN,ASUN Conference,1,/wiki/Austin_Peay_Governors
10,Ball State University,Cardinals,Muncie,IN,Mid-American Conference,1,/wiki/University_of_the_Incarnate_Word_Cardinals
11,Baylor University,Bears,Waco,TX,Big 12 Conference,1,/wiki/Northern_Colorado_Bears
12,Belmont University,Bruins,Nashville,TN,Missouri Valley Conference,1,
13,Bethune–Cookman University,Wildcats,Daytona Beach,FL,Southwestern Athletic Conference,1,/wiki/Weber_State_Wildcats
14,Boise State University,Broncos,Boise,ID,Mountain West Conference,1,/wiki/Western_Michigan_Broncos
15,Boston College,Eagles,Chestnut Hill,MA,Atlantic Coast Conference,1,
16,Boston University,Terriers,Boston,MA,Patriot League,1,/wiki/Wofford_Terriers
17,Bowling Green State University,Falcons,Bowling Green,OH,Mid-American Conference,1,/wiki/Air_Force_Falcons
18,Bradley University,Braves,Peoria,IL,Missouri Valley Conference,1,/wiki/Bradley_Braves
19,Brigham Young University,Cougars,Provo,UT,West Coast Conference,1,/wiki/Washington_State_Cougars
20,Brown University,Bears,Providence,RI,Ivy League,1,/wiki/Northern_Colorado_Bears
21,Bryant University,Bulldogs,Smithfield,RI,America East Conference,1,/wiki/Yale_Bulldogs
22,Bucknell University,Bison,Lewisburg,PA,Patriot League,1,/wiki/North_Dakota_State_Bison
23,Butler University,Bulldogs,Indianapolis,IN,Big East Conference,1,/wiki/Yale_Bulldogs
24,California Baptist University,Lancers,Riverside,CA,Western Athletic Conference,1,/wiki/Longwood_Lancers
25,California Polytechnic State University,Mustangs,San Luis Obispo,CA,Big West Conference,1,/wiki/SMU_Mustangs
26,"California State University, Bakersfield",Roadrunners,Bakersfield,CA,Big West Conference,1,/wiki/UTSA_Roadrunners
27,"California State University, Fresno",Bulldogs,Fresno,CA,Mountain West Conference,1,/wiki/Yale_Bulldogs
28,"California State University, Fullerton",Titans,Fullerton,CA,Big West Conference,1,/wiki/Detroit_Mercy_Titans
29,"California State University, Long Beach",Beach,Long Beach,CA,Big West Conference,1,/wiki/Long_Beach_State_Beach
30,"California State University, Northridge",Matadors,Los Angeles,CA,Big West Conference,1,/wiki/Cal_State_Northridge_Matadors
31,"California State University, Sacramento",Hornets,Sacramento,CA,Big Sky Conference,1,/wiki/Delaware_State_Hornets
32,Campbell University,Fighting Camels,Buies Creek,NC,Big South Conference,1,/wiki/Campbell_Fighting_Camels_and_Lady_Camels
33,Canisius College,Golden Griffins,Buffalo,NY,Metro Atlantic Athletic Conference,1,/wiki/Canisius_Golden_Griffins
34,Central Connecticut State University,Blue Devils,New Britain,CT,Northeast Conference,1,/wiki/Duke_Blue_Devils
35,Central Michigan University,Chippewas,Mount Pleasant,MI,Mid-American Conference,1,/wiki/Central_Michigan_Chippewas
36,Charleston Southern University,Buccaneers,North Charleston,SC,Big South Conference,1,/wiki/East_Tennessee_State_Buccaneers
37,Chicago State University,Cougars,Chicago,IL,Independent,1,/wiki/Washington_State_Cougars
38,Clemson University,Tigers,Clemson,SC,Atlantic Coast Conference,1,/wiki/Pacific_Tigers
39,Cleveland State University,Vikings,Cleveland,OH,Horizon League,1,/wiki/Portland_State_Vikings
40,Coastal Carolina University,Chanticleers,Conway,SC,Sun Belt Conference,1,/wiki/Coastal_Carolina_Chanticleers
41,Colgate University,Raiders,Hamilton,NY,Patriot League,1,/wiki/Wright_State_Raiders
42,College of Charleston,Cougars,Charleston,SC,Colonial Athletic Association,1,/wiki/Washington_State_Cougars
43,College of the Holy Cross,Crusaders,Worcester,MA,Patriot League,1,/wiki/Holy_Cross_Crusaders
44,Colorado State University,Rams,Fort Collins,CO,Mountain West Conference,1,/wiki/VCU_Rams
45,Columbia University in the City of New York,Lions,New York,NY,Ivy League,1,/wiki/Texas_A%26M%E2%80%93Commerce_Lions
46,Coppin State University,Eagles,Baltimore,MD,Mid-Eastern Athletic Conference,1,
47,Cornell University,Big Red,Ithaca,NY,Ivy League,1,/wiki/Cornell_Big_Red
48,Creighton University,Bluejays,Omaha,NE,Big East Conference,1,/wiki/Creighton_Bluejays
49,Dartmouth College,Big Green,Hanover,NH,Ivy League,1,/wiki/Dartmouth_Big_Green
50,Davidson College,Wildcats,Davidson,NC,Atlantic 10 Conference,1,/wiki/Weber_State_Wildcats
51,Delaware State University,Hornets,Dover,DE,Mid-Eastern Athletic Conference,1,/wiki/Delaware_State_Hornets
52,DePaul University,Blue Demons,Chicago,IL,Big East Conference,1,/wiki/DePaul_Blue_Demons
53,Drake University,Bulldogs,Des Moines,IA,Missouri Valley Conference,1,/wiki/Yale_Bulldogs
54,Drexel University,Dragons,Philadelphia,PA,Colonial Athletic Association,1,/wiki/Drexel_Dragons
