,Unnamed: 0,school,team,city,state_province,primary_conference,ncaa,team_page,svg_url
0,0,Abilene Christian University,Wildcats,Abilene,TX,Western Athletic Conference,1,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
1,1,Alabama Agricultural and Mechanical University,Bulldogs,Normal,AL,Southwestern Athletic Conference,1,/wiki/Yale_Bulldogs,https://upload.wikimedia.org/wikipedia/en/e/e5/Yale_Bulldogs_logo.svg
2,2,Alabama State University,Hornets,Montgomery,AL,Southwestern Athletic Conference,1,/wiki/Delaware_State_Hornets,https://upload.wikimedia.org/wikipedia/en/d/db/Delaware_State_Hornets_logo.svg
3,3,Alcorn State University,Braves,Lorman,MS,Southwestern Athletic Conference,1,/wiki/Bradley_Braves,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bradley_Braves_logo.svg
4,4,American University,Eagles,Washington,DC,Patriot League,1,,
5,5,Appalachian State University,Mountaineers,Boone,NC,Sun Belt Conference,1,/wiki/West_Virginia_Mountaineers,https://upload.wikimedia.org/wikipedia/commons/e/e8/West_Virginia_Mountaineers_logo.svg
6,6,Arizona State University,Sun Devils,Tempe,AZ,Pac-12 Conference,1,/wiki/Arizona_State_Sun_Devils,https://upload.wikimedia.org/wikipedia/en/0/0a/Arizona_State_Sun_Devils_logo.svg
7,7,Arkansas State University,Red Wolves,Jonesboro,AR,Sun Belt Conference,1,/wiki/Arkansas_State_Red_Wolves,https://upload.wikimedia.org/wikipedia/en/3/36/Arkansas_State_Red_Wolves_logo.svg
8,8,Auburn University,Tigers,Auburn,AL,Southeastern Conference,1,/wiki/Pacific_Tigers,https://upload.wikimedia.org/wikipedia/en/5/5e/Pacific_Tigers_logo.svg
9,9,Austin Peay State University,Governors,Clarksville,TN,ASUN Conference,1,/wiki/Austin_Peay_Governors,https://upload.wikimedia.org/wikipedia/en/a/a8/Austin_Peay_Governors_logo.svg
10,10,Ball State University,Cardinals,Muncie,IN,Mid-American Conference,1,/wiki/University_of_the_Incarnate_Word_Cardinals,https://upload.wikimedia.org/wikipedia/en/e/ea/Incarnate_Word_Cardinals_logo.svg
11,11,Baylor University,Bears,Waco,TX,Big 12 Conference,1,/wiki/Northern_Colorado_Bears,https://upload.wikimedia.org/wikipedia/en/f/f9/Northern_Colorado_Bears_logo.svg
12,12,Belmont University,Bruins,Nashville,TN,Missouri Valley Conference,1,,
13,13,Bethune–Cookman University,Wildcats,Daytona Beach,FL,Southwestern Athletic Conference,1,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
14,14,Boise State University,Broncos,Boise,ID,Mountain West Conference,1,/wiki/Western_Michigan_Broncos,https://upload.wikimedia.org/wikipedia/en/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg
15,15,Boston College,Eagles,Chestnut Hill,MA,Atlantic Coast Conference,1,,
16,16,Boston University,Terriers,Boston,MA,Patriot League,1,/wiki/Wofford_Terriers,https://upload.wikimedia.org/wikipedia/en/5/5b/Wofford_Terriers_logo.svg
17,17,Bowling Green State University,Falcons,Bowling Green,OH,Mid-American Conference,1,/wiki/Air_Force_Falcons,https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_Force_Falcons_logo.svg
18,18,Bradley University,Braves,Peoria,IL,Missouri Valley Conference,1,/wiki/Bradley_Braves,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bradley_Braves_logo.svg
19,19,Brigham Young University,Cougars,Provo,UT,West Coast Conference,1,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
20,20,Brown University,Bears,Providence,RI,Ivy League,1,/wiki/Northern_Colorado_Bears,https://upload.wikimedia.org/wikipedia/en/f/f9/Northern_Colorado_Bears_logo.svg
21,21,Bryant University,Bulldogs,Smithfield,RI,America East Conference,1,/wiki/Yale_Bulldogs,https://upload.wikimedia.org/wikipedia/en/e/e5/Yale_Bulldogs_logo.svg
22,22,Bucknell University,Bison,Lewisburg,PA,Patriot League,1,/wiki/North_Dakota_State_Bison,https://upload.wikimedia.org/wikipedia/en/7/74/North_Dakota_State_Bison_logo.svg
23,23,Butler University,Bulldogs,Indianapolis,IN,Big East Conference,1,/wiki/Yale_Bulldogs,https://upload.wikimedia.org/wikipedia/en/e/e5/Yale_Bulldogs_logo.svg
24,24,California Baptist University,Lancers,Riverside,CA,Western Athletic Conference,1,/wiki/Longwood_Lancers,https://upload.wikimedia.org/wikipedia/en/5/5f/Longwood_Lancers_logo.svg
25,25,California Polytechnic State University,Mustangs,San Luis Obispo,CA,Big West Conference,1,/wiki/SMU_Mustangs,https://upload.wikimedia.org/wikipedia/commons/3/33/SMU_Mustang_logo.svg
26,26,"California State University, Bakersfield",Roadrunners,Bakersfield,CA,Big West Conference,1,/wiki/UTSA_Roadrunners,https://upload.wikimedia.org/wikipedia/commons/8/84/UTSA_Roadrunners_logo.svg
27,27,"California State University, Fresno",Bulldogs,Fresno,CA,Mountain West Conference,1,/wiki/Yale_Bulldogs,https://upload.wikimedia.org/wikipedia/en/e/e5/Yale_Bulldogs_logo.svg
28,28,"California State University, Fullerton",Titans,Fullerton,CA,Big West Conference,1,/wiki/Detroit_Mercy_Titans,https://upload.wikimedia.org/wikipedia/en/a/a6/Detroit_Titans_logo.svg
29,29,"California State University, Long Beach",Beach,Long Beach,CA,Big West Conference,1,/wiki/Long_Beach_State_Beach,https://upload.wikimedia.org/wikipedia/commons/2/29/Long_Beach_State_Athletics_logo.svg
30,30,"California State University, Northridge",Matadors,Los Angeles,CA,Big West Conference,1,/wiki/Cal_State_Northridge_Matadors,https://upload.wikimedia.org/wikipedia/en/5/51/CSUN_Matadors_logo.svg
31,31,"California State University, Sacramento",Hornets,Sacramento,CA,Big Sky Conference,1,/wiki/Delaware_State_Hornets,https://upload.wikimedia.org/wikipedia/en/d/db/Delaware_State_Hornets_logo.svg
32,32,Campbell University,Fighting Camels,Buies Creek,NC,Big South Conference,1,/wiki/Campbell_Fighting_Camels_and_Lady_Camels,https://upload.wikimedia.org/wikipedia/en/8/84/Campbell_Fighting_Camels_logo.svg
33,33,Canisius College,Golden Griffins,Buffalo,NY,Metro Atlantic Athletic Conference,1,/wiki/Canisius_Golden_Griffins,https://upload.wikimedia.org/wikipedia/en/d/dd/Canisius_Golden_Griffins.svg
34,34,Central Connecticut State University,Blue Devils,New Britain,CT,Northeast Conference,1,/wiki/Duke_Blue_Devils,https://upload.wikimedia.org/wikipedia/commons/e/e1/Duke_Athletics_logo.svg
35,35,Central Michigan University,Chippewas,Mount Pleasant,MI,Mid-American Conference,1,/wiki/Central_Michigan_Chippewas,https://upload.wikimedia.org/wikipedia/commons/2/2a/Central_Michigan_Chippewas_logo.svg
36,36,Charleston Southern University,Buccaneers,North Charleston,SC,Big South Conference,1,/wiki/East_Tennessee_State_Buccaneers,https://upload.wikimedia.org/wikipedia/commons/a/ab/East_Tennessee_State_Buccaneers_logo.svg
37,37,Chicago State University,Cougars,Chicago,IL,Independent,1,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
38,38,Clemson University,Tigers,Clemson,SC,Atlantic Coast Conference,1,/wiki/Pacific_Tigers,https://upload.wikimedia.org/wikipedia/en/5/5e/Pacific_Tigers_logo.svg
39,39,Cleveland State University,Vikings,Cleveland,OH,Horizon League,1,/wiki/Portland_State_Vikings,https://upload.wikimedia.org/wikipedia/commons/4/48/Portland_State_Vikings_logo.svg
40,40,Coastal Carolina University,Chanticleers,Conway,SC,Sun Belt Conference,1,/wiki/Coastal_Carolina_Chanticleers,https://upload.wikimedia.org/wikipedia/en/e/ef/Coastal_Carolina_Chanticleers_logo.svg
41,41,Colgate University,Raiders,Hamilton,NY,Patriot League,1,/wiki/Wright_State_Raiders,https://upload.wikimedia.org/wikipedia/en/c/c2/Wright_State_Raiders_logo.svg
42,42,College of Charleston,Cougars,Charleston,SC,Colonial Athletic Association,1,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
43,43,College of the Holy Cross,Crusaders,Worcester,MA,Patriot League,1,/wiki/Holy_Cross_Crusaders,https://upload.wikimedia.org/wikipedia/commons/f/f5/Holy_Cross_Crusaders_logo.svg
44,44,Colorado State University,Rams,Fort Collins,CO,Mountain West Conference,1,/wiki/VCU_Rams,https://upload.wikimedia.org/wikipedia/commons/b/bf/VCU_Rams_logo.svg
45,45,Columbia University in the City of New York,Lions,New York,NY,Ivy League,1,/wiki/Texas_A%26M%E2%80%93Commerce_Lions,https://upload.wikimedia.org/wikipedia/en/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg
46,46,Coppin State University,Eagles,Baltimore,MD,Mid-Eastern Athletic Conference,1,,
47,47,Cornell University,Big Red,Ithaca,NY,Ivy League,1,/wiki/Cornell_Big_Red,https://upload.wikimedia.org/wikipedia/en/9/9b/Cornell_Big_Red_logo.svg
48,48,Creighton University,Bluejays,Omaha,NE,Big East Conference,1,/wiki/Creighton_Bluejays,https://upload.wikimedia.org/wikipedia/en/6/6f/Creighton_Bluejays_logo.svg
49,49,Dartmouth College,Big Green,Hanover,NH,Ivy League,1,/wiki/Dartmouth_Big_Green,https://upload.wikimedia.org/wikipedia/commons/a/af/Dartmouth_College_Big_Green_logo.svg
50,50,Davidson College,Wildcats,Davidson,NC,Atlantic 10 Conference,1,/wiki/Weber_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/f/f2/Weber_State_Wildcats_logo.svg
51,51,Delaware State University,Hornets,Dover,DE,Mid-Eastern Athletic Conference,1,/wiki/Delaware_State_Hornets,https://upload.wikimedia.org/wikipedia/en/d/db/Delaware_State_Hornets_logo.svg
52,52,DePaul University,Blue Demons,Chicago,IL,Big East Conference,1,/wiki/DePaul_Blue_Demons,https://upload.wikimedia.org/wikipedia/commons/1/1f/DePaul_Blue_Demons_Logo.png
